UF,Ano,Taxa_Pobreza,Taxa_Crescimento_PIB,Taxa_Crescimento_Estabelecimentos
AC,2018,50.2,7.41,6.05
AC,2019,51.9,1.95,6.51
AC,2020,48.4,5.41,9.45
AC,2021,54.1,29.73,7.33
AL,2018,59.7,2.96,6.84
AL,2019,58.2,8.36,7.69
AL,2020,53.7,7.19,9.38
AL,2021,60.3,20.67,9.57
AM,2018,55.2,7.37,6.49
AM,2019,56.4,8.06,7.8
AM,2020,51.6,7.25,11.27
AM,2021,58.4,13.37,9.32
AP,2018,52.8,8.48,5.67
AP,2019,53.5,4.18,6.26
AP,2020,49.1,5.56,8.83
AP,2021,57.0,8.83,8.26
BA,2018,53.4,6.52,6.83
BA,2019,50.6,2.45,7.63
BA,2020,46.6,4.12,8.99
BA,2021,55.8,15.49,8.51
CE,2018,51.6,5.4,7.1
CE,2019,51.0,4.92,7.93
CE,2020,47.5,2.04,9.04
CE,2021,54.6,16.76,8.57
DF,2018,19.4,4.13,9.23
DF,2019,18.0,7.38,9.61
DF,2020,17.9,-2.84,9.22
DF,2021,21.0,7.94,9.82
ES,2018,29.2,20.83,8.76
ES,2019,27.7,0.24,9.14
ES,2020,26.2,0.8,10.63
ES,2021,34.1,34.59,9.62
GO,2018,26.5,1.95,7.91
GO,2019,27.1,6.64,8.78
GO,2020,26.0,7.41,10.44
GO,2021,31.4,20.3,9.55
MA,2018,63.2,9.65,5.38
MA,2019,62.1,-0.86,6.09
MA,2020,57.3,9.84,9.75
MA,2021,65.6,16.9,7.15
MG,2018,28.9,6.68,7.52
MG,2019,27.3,6.02,8.13
MG,2020,24.3,4.74,9.68
MG,2021,31.3,25.6,8.54
MS,2018,24.5,10.97,7.39
MS,2019,22.2,-0.02,8.04
MS,2020,23.9,14.67,9.5
MS,2021,29.8,15.96,8.28
MT,2018,23.4,8.35,7.48
MT,2019,23.0,3.4,8.28
MT,2020,24.2,25.7,10.24
MT,2021,28.6,30.64,9.31
PA,2018,53.4,3.94,6.88
PA,2019,54.7,10.55,7.99
PA,2020,46.3,21.06,11.66
PA,2021,55.1,21.75,9.64
PB,2018,50.3,3.17,7.55
PB,2019,51.9,5.61,8.05
PB,2020,49.2,3.39,10.16
PB,2021,56.2,10.21,9.27
PE,2018,50.0,2.61,7.38
PE,2019,51.8,6.17,8.0
PE,2020,49.2,-2.3,9.14
PE,2021,59.7,14.23,8.66
PI,2018,52.2,11.05,6.1
PI,2019,52.6,4.77,6.7
PI,2020,46.6,6.84,9.36
PI,2021,51.8,13.54,8.01
PR,2018,20.4,4.4,7.5
PR,2019,20.1,5.99,8.24
PR,2020,20.1,4.62,9.61
PR,2021,23.4,12.72,8.75
RJ,2018,25.7,12.99,9.1
RJ,2019,25.8,2.78,9.41
RJ,2020,25.9,-3.35,9.97
RJ,2021,30.5,25.93,9.64
RN,2018,47.3,4.14,7.4
RN,2019,47.1,6.52,8.29
RN,2020,41.6,0.34,9.92
RN,2021,50.9,12.02,8.72
RO,2018,33.5,3.21,6.21
RO,2019,32.5,4.85,6.76
RO,2020,28.7,9.57,8.97
RO,2021,39.2,12.74,7.77
RR,2018,40.3,10.45,5.98
RR,2019,49.7,6.9,6.48
RR,2020,48.5,12.12,9.31
RR,2021,57.1,13.59,8.14
RS,2018,19.5,8.04,6.06
RS,2019,15.9,5.5,6.47
RS,2020,16.8,-2.39,7.51
RS,2021,18.9,23.43,7.2
SC,2018,12.4,7.56,7.89
SC,2019,11.9,8.4,8.91
SC,2020,13.3,8.05,10.22
SC,2021,14.8,22.7,10.09
SE,2018,53.2,3.21,7.01
SE,2019,52.5,6.36,8.03
SE,2020,43.9,1.61,11.15
SE,2021,55.7,14.21,10.06
SP,2018,20.1,4.23,7.7
SP,2019,18.7,6.23,8.73
SP,2020,20.2,1.25,8.9
SP,2021,23.7,14.39,8.9
TO,2018,41.3,4.57,6.93
TO,2019,43.7,10.35,7.41
TO,2020,38.2,10.91,10.02
TO,2021,42.8,18.63,8.04
