Municipality,Ano,Total_Empregos,Taxa_Crescimento_Total_Empregos
Aparecida,2018,15770,0.1397002794005564
Aparecida,2019,16015,1.553582752060878
Aparecida,2020,14788,-7.6615672806743635
Aparecida,2021,13499,-8.716526913713817
Cachoeira Paulista,2018,6830,2.123205741626788
Cachoeira Paulista,2019,6924,1.3762811127379315
Cachoeira Paulista,2020,6214,-10.254188330444824
Cachoeira Paulista,2021,6158,-0.9011908593498541
Campos Do Jordão,2018,17930,3.4204302935917363
Campos Do Jordão,2019,18581,3.630786391522589
Campos Do Jordão,2020,16866,-9.229858457564177
Campos Do Jordão,2021,18411,9.160441124155106
Canas,2018,1720,-2.4390243902439046
Canas,2019,1147,-33.31395348837209
Canas,2020,1224,6.713164777680913
Canas,2021,1434,17.156862745098046
Caraguatatuba,2018,34283,-0.67217151962915
Caraguatatuba,2019,36308,5.906717615144541
Caraguatatuba,2020,36978,1.8453233447174089
Caraguatatuba,2021,38547,4.243063443128348
Caçapava,2018,30295,8.623162423807806
Caçapava,2019,28849,-4.77306486218848
Caçapava,2020,28461,-1.3449339665153048
Caçapava,2021,30127,5.853624257756218
Cruzeiro,2018,20683,3.3943211357728487
Cruzeiro,2019,21042,1.735724991538956
Cruzeiro,2020,21981,4.46250356429998
Cruzeiro,2021,23498,6.901414858286703
Cunha,2018,2760,-0.8264462809917328
Cunha,2019,2805,1.6304347826086918
Cunha,2020,2758,-1.6755793226381432
Cunha,2021,2841,3.009427121102237
Guará,2018,3767,5.429610971172694
Guará,2019,4084,8.41518449694718
Guará,2020,4146,1.518119490695402
Guará,2021,4892,17.99324650265317
Igaratá,2018,2085,0.9685230024213176
Igaratá,2019,2068,-0.8153477218225458
Igaratá,2020,2072,0.19342359767891004
Igaratá,2021,2100,1.3513513513513598
Ilhabela,2018,12160,0.7874015748031482
Ilhabela,2019,12473,2.574013157894739
Ilhabela,2020,12730,2.060450573238204
Ilhabela,2021,13518,6.190102120974084
Jacareí,2018,68153,3.6452947259565605
Jacareí,2019,70176,2.9683212771264733
Jacareí,2020,67642,-3.6109211126310936
Jacareí,2021,73303,8.369060642795901
Jambeiro,2018,4707,11.513859275053306
Jambeiro,2019,3950,-16.082430422774596
Jambeiro,2020,4204,6.430379746835446
Jambeiro,2021,5570,32.49286393910562
Lagoinha,2018,855,-9.427966101694917
Lagoinha,2019,879,2.807017543859658
Lagoinha,2020,816,-7.167235494880542
Lagoinha,2021,812,-0.4901960784313708
Lorena,2018,22668,-1.618853348378979
Lorena,2019,22271,-1.7513675666137263
Lorena,2020,22618,1.558080014368457
Lorena,2021,24117,6.627464851003628
Monteiro Lobato,2018,896,5.535924617196697
Monteiro Lobato,2019,790,-11.830357142857139
Monteiro Lobato,2020,782,-1.0126582278481067
Monteiro Lobato,2021,812,3.8363171355498826
Natividade Da Serra,2018,848,1.193317422434359
Natividade Da Serra,2019,821,-3.1839622641509413
Natividade Da Serra,2020,792,-3.5322777101096214
Natividade Da Serra,2021,873,10.22727272727273
Paraibuna,2018,3553,-0.196629213483146
Paraibuna,2019,3460,-2.6175063326766113
Paraibuna,2020,3443,-0.49132947976878727
Paraibuna,2021,3402,-1.1908219575951229
Pindamonhangaba,2018,43237,6.3405396099264655
Pindamonhangaba,2019,45387,4.972592918102547
Pindamonhangaba,2020,43275,-4.65331482583119
Pindamonhangaba,2021,45111,4.24263431542462
Piquete,2018,1659,-2.811950790861162
Piquete,2019,1729,4.219409282700415
Piquete,2020,2133,23.366107576633887
Piquete,2021,2652,24.33192686357244
Potim,2018,1790,-2.9284164859002204
Potim,2019,1821,1.731843575419001
Potim,2020,1731,-4.94233937397035
Potim,2021,1841,6.354708261120745
Redenção Da Serra,2018,8205,945.2229299363058
Redenção Da Serra,2019,1164,-85.81352833638024
Redenção Da Serra,2020,1822,56.529209621993125
Redenção Da Serra,2021,754,-58.61690450054885
Roseira,2018,3116,-0.9220985691573924
