Municipality,Ano,Total_Estabelecimentos,Taxa_Crescimento_Total_Estabelecimentos
Aparecida,2018,596.0,16.862745098039223
Aparecida,2019,736.0,23.48993288590604
Aparecida,2020,782.0,6.25
Aparecida,2021,691.0,-11.636828644501273
Cachoeira Paulista,2018,432.0,8.5427135678392
Cachoeira Paulista,2019,525.0,21.527777777777768
Cachoeira Paulista,2020,706.0,34.47619047619048
Cachoeira Paulista,2021,564.0,-20.113314447592067
Campos Do Jordão,2018,932.0,7.621247113163965
Campos Do Jordão,2019,1107.0,18.77682403433476
Campos Do Jordão,2020,1168.0,5.510388437217695
Campos Do Jordão,2021,1178.0,0.8561643835616417
Canas,2018,73.0,5.797101449275366
Canas,2019,74.0,1.3698630136986356
Canas,2020,182.0,145.94594594594597
Canas,2021,122.0,-32.96703296703297
Caraguatatuba,2018,2283.0,21.04984093319193
Caraguatatuba,2019,2870.0,25.71178274200614
Caraguatatuba,2020,3157.0,10.000000000000009
Caraguatatuba,2021,3565.0,12.923661704149513
Caçapava,2018,1202.0,14.041745730550282
Caçapava,2019,1420.0,18.13643926788686
Caçapava,2020,1762.0,24.084507042253513
Caçapava,2021,1959.0,11.180476730987522
Cruzeiro,2018,1214.0,13.564078578110394
Cruzeiro,2019,1380.0,13.673805601317968
Cruzeiro,2020,1523.0,10.362318840579722
Cruzeiro,2021,1521.0,-0.13131976362442677
Cunha,2018,439.0,-10.224948875255624
Cunha,2019,429.0,-2.277904328018221
Cunha,2020,424.0,-1.1655011655011704
Cunha,2021,683.0,61.084905660377366
Guaratinguetá,2018,1734.0,17.162162162162154
Guaratinguetá,2019,2187.0,26.124567474048433
Guaratinguetá,2020,2556.0,16.872427983539097
Guaratinguetá,2021,2653.0,3.794992175273859
Igaratá,2018,236.0,66.19718309859155
Igaratá,2019,246.0,4.237288135593231
Igaratá,2020,371.0,50.81300813008129
Igaratá,2021,355.0,-4.312668463611857
Ilhabela,2018,711.0,0.9943181818181879
Ilhabela,2019,949.0,33.47398030942335
Ilhabela,2020,1143.0,20.442571127502628
Ilhabela,2021,960.0,-16.010498687664043
Jacareí,2018,3233.0,18.381545221530573
Jacareí,2019,4362.0,34.921125889266925
Jacareí,2020,5305.0,21.618523613021544
Jacareí,2021,5944.0,12.045240339302543
Jambeiro,2018,92.0,-30.827067669172937
Jambeiro,2019,113.0,22.826086956521728
Jambeiro,2020,172.0,52.212389380530965
Jambeiro,2021,128.0,-25.581395348837212
Lagoinha,2018,93.0,-21.84873949579832
Lagoinha,2019,93.0,0.0
Lagoinha,2020,144.0,54.83870967741935
Lagoinha,2021,137.0,-4.861111111111116
Lorena,2018,1162.0,6.3129002744739315
Lorena,2019,1355.0,16.609294320137693
Lorena,2020,1761.0,29.963099630996304
Lorena,2021,1776.0,0.8517887563884052
Monteiro Lobato,2018,82.0,7.8947368421052655
Monteiro Lobato,2019,114.0,39.02439024390243
Monteiro Lobato,2020,163.0,42.98245614035088
Monteiro Lobato,2021,91.0,-44.171779141104295
Natividade Da Serra,2018,123.0,-11.51079136690647
Natividade Da Serra,2019,153.0,24.390243902439025
Natividade Da Serra,2020,218.0,42.48366013071896
Natividade Da Serra,2021,177.0,-18.80733944954128
Paraibuna,2018,279.0,-0.3571428571428559
Paraibuna,2019,317.0,13.62007168458781
Paraibuna,2020,426.0,34.38485804416405
Paraibuna,2021,383.0,-10.093896713615024
Pindamonhangaba,2018,2165.0,19.878183831672214
Pindamonhangaba,2019,2532.0,16.951501154734405
Pindamonhangaba,2020,3029.0,19.628751974723535
Pindamonhangaba,2021,3294.0,8.74876196764609
Piquete,2018,153.0,14.179104477611947
Piquete,2019,144.0,-5.882352941176472
Piquete,2020,372.0,158.33333333333334
Piquete,2021,205.0,-44.892473118279575
Potim,2018,270.0,9.756097560975618
Potim,2019,300.0,11.111111111111116
Potim,2020,387.0,29.000000000000004
Potim,2021,390.0,0.7751937984496138
Redenção Da Serra,2018,52.0,-23.529411764705888
Redenção Da Serra,2019,77.0,48.07692307692308
Redenção Da Serra,2020,161.0,109.09090909090908
Redenção Da Serra,2021,104.0,-35.40372670807454
Roseira,2018,183.0,23.64864864864864
Roseira,2019,204.0,11.475409836065564
Roseira,2020,316.0,54.90196078431373
Roseira,2021,258.0,-18.354430379746834
Santa Branca,2018,163.0,1.8750000000000044
Santa Branca,2019,227.0,39.26380368098159
Santa Branca,2020,367.0,61.67400881057268
Santa Branca,2021,273.0,-25.61307901907357
Santo Antônio Do Pinhal,2018,193.0,16.96969696969697
Santo Antônio Do Pinhal,2019,230.0,19.17098445595855
Santo Antônio Do Pinhal,2020,220.0,-4.347826086956519
Santo Antônio Do Pinhal,2021,225.0,2.2727272727272707
São Bento Do Sapucaí,2018,209.0,5.025125628140703
São Bento Do Sapucaí,2019,219.0,4.784688995215314
São Bento Do Sapucaí,2020,310.0,41.55251141552512
São Bento Do Sapucaí,2021,253.0,-18.387096774193544
São José Dos Campos,2018,12731.0,29.104553290741308
São José Dos Campos,2019,17361.0,36.3679208231875
São José Dos Campos,2020,18723.0,7.845170209089347
São José Dos Campos,2021,21313.0,13.8332532179672
São Luís Do Paraitinga,2018,229.0,59.02777777777777
São Luís Do Paraitinga,2019,219.0,-4.366812227074234
São Luís Do Paraitinga,2020,324.0,47.94520547945205
São Luís Do Paraitinga,2021,310.0,-4.320987654320985
São Sebastião,2017,1137.0,816.9354838709678
São Sebastião,2018,125.0,-89.0061565523307
São Sebastião,2018,1253.0,902.3999999999999
São Sebastião,2019,137.0,-89.0662410215483
São Sebastião,2019,1491.0,988.3211678832117
São Sebastião,2020,191.0,-87.18980549966466
São Sebastião,2020,1909.0,899.476439790576
São Sebastião,2021,214.0,-88.78994237820848
São Sebastião,2021,1911.0,792.9906542056076
Taubaté,2018,5053.0,12.513916722333551
Taubaté,2019,6715.0,32.891351672273906
Taubaté,2020,7673.0,14.266567386448248
Taubaté,2021,8151.0,6.229636387332205
Tremembé,2018,552.0,-1.6042780748663055
Tremembé,2019,753.0,36.41304347826087
Tremembé,2020,936.0,24.302788844621514
Tremembé,2021,866.0,-7.478632478632474
