UF,Estado,Ano,Valor
AC,Acre,2012,53.9
AC,Acre,2013,53.5
AC,Acre,2014,51.4
AC,Acre,2015,52.5
AC,Acre,2016,56.6
AC,Acre,2017,54.6
AC,Acre,2018,50.2
AC,Acre,2019,51.9
AC,Acre,2020,48.4
AC,Acre,2021,54.1
AC,Acre,2022,51.0
AC,Acre,2023,51.5
AL,Alagoas,2012,60.4
AL,Alagoas,2013,60.3
AL,Alagoas,2014,56.4
AL,Alagoas,2015,59.7
AL,Alagoas,2016,58.4
AL,Alagoas,2017,59.3
AL,Alagoas,2018,59.7
AL,Alagoas,2019,58.2
AL,Alagoas,2020,53.7
AL,Alagoas,2021,60.3
AL,Alagoas,2022,54.2
AL,Alagoas,2023,46.23
AM,Amazonas,2012,53.5
AM,Amazonas,2013,53.4
AM,Amazonas,2014,50.6
AM,Amazonas,2015,52.2
AM,Amazonas,2016,59.3
AM,Amazonas,2017,56.7
AM,Amazonas,2018,55.2
AM,Amazonas,2019,56.4
AM,Amazonas,2020,51.6
AM,Amazonas,2021,58.4
AM,Amazonas,2022,55.1
AM,Amazonas,2023,45.49
AP,Amapá,2012,52.7
AP,Amapá,2013,46.3
AP,Amapá,2014,46.6
AP,Amapá,2015,48.6
AP,Amapá,2016,51.7
AP,Amapá,2017,55.4
AP,Amapá,2018,52.8
AP,Amapá,2019,53.5
AP,Amapá,2020,49.1
AP,Amapá,2021,57.0
AP,Amapá,2022,47.8
AP,Amapá,2023,32.89
BA,Bahia,2012,55.5
BA,Bahia,2013,52.1
BA,Bahia,2014,48.5
BA,Bahia,2015,48.7
BA,Bahia,2016,52.7
BA,Bahia,2017,54.1
BA,Bahia,2018,53.4
BA,Bahia,2019,50.6
BA,Bahia,2020,46.6
BA,Bahia,2021,55.8
BA,Bahia,2022,50.5
BA,Bahia,2023,45.96
CE,Ceará,2012,56.2
CE,Ceará,2013,52.4
CE,Ceará,2014,51.6
CE,Ceará,2015,52.2
CE,Ceará,2016,54.4
CE,Ceará,2017,52.3
CE,Ceará,2018,51.6
CE,Ceará,2019,51.0
CE,Ceará,2020,47.5
CE,Ceará,2021,54.6
CE,Ceará,2022,50.7
CE,Ceará,2023,48.72
DF,Distrito Federal,2012,21.1
DF,Distrito Federal,2013,18.6
DF,Distrito Federal,2014,19.6
DF,Distrito Federal,2015,18.9
DF,Distrito Federal,2016,20.0
DF,Distrito Federal,2017,20.4
DF,Distrito Federal,2018,19.4
DF,Distrito Federal,2019,18.0
DF,Distrito Federal,2020,17.9
DF,Distrito Federal,2021,21.0
DF,Distrito Federal,2022,17.1
DF,Distrito Federal,2023,15.41
ES,Espírito Santo,2012,29.7
ES,Espírito Santo,2013,30.1
ES,Espírito Santo,2014,28.5
ES,Espírito Santo,2015,30.6
ES,Espírito Santo,2016,32.5
ES,Espírito Santo,2017,31.0
ES,Espírito Santo,2018,29.2
ES,Espírito Santo,2019,27.7
ES,Espírito Santo,2020,26.2
ES,Espírito Santo,2021,34.1
ES,Espírito Santo,2022,26.3
ES,Espírito Santo,2023,22.81
GO,Goiás,2012,27.6
GO,Goiás,2013,21.5
GO,Goiás,2014,23.2
GO,Goiás,2015,24.8
GO,Goiás,2016,28.1
GO,Goiás,2017,25.5
GO,Goiás,2018,26.5
GO,Goiás,2019,27.1
GO,Goiás,2020,26.0
GO,Goiás,2021,31.4
GO,Goiás,2022,22.7
GO,Goiás,2023,18.44
MA,Maranhão,2012,64.3
MA,Maranhão,2013,62.3
MA,Maranhão,2014,60.8
MA,Maranhão,2015,61.3
MA,Maranhão,2016,62.8
MA,Maranhão,2017,62.8
MA,Maranhão,2018,63.2
