Municipality,Ano,Total_Estabelecimentos,Taxa_Crescimento_Total_Estabelecimentos,Total_Empregos,Taxa_Crescimento_Total_Empregos
Caraguatatuba,2018,2283.0,21.04984093319193,34283,-0.67217151962915
Caraguatatuba,2019,2870.0,25.71178274200614,36308,5.906717615144541
Caraguatatuba,2020,3157.0,10.000000000000009,36978,1.8453233447174089
Caraguatatuba,2021,3565.0,12.923661704149511,38547,4.243063443128348
Caçapava,2018,1202.0,14.041745730550282,30295,8.623162423807806
Caçapava,2019,1420.0,18.13643926788686,28849,-4.77306486218848
Caçapava,2020,1762.0,24.084507042253517,28461,-1.3449339665153048
Caçapava,2021,1959.0,11.180476730987522,30127,5.853624257756218
Guaratinguetá,2018,1734.0,17.162162162162154,3767,5.429610971172694
Guaratinguetá,2019,2187.0,26.124567474048433,4084,8.41518449694718
Guaratinguetá,2020,2556.0,16.872427983539097,4146,1.518119490695402
Guaratinguetá,2021,2653.0,3.794992175273859,4892,17.99324650265317
Jacareí,2018,3233.0,18.381545221530573,68153,3.645294725956561
Jacareí,2019,4362.0,34.921125889266925,70176,2.9683212771264733
Jacareí,2020,5305.0,21.618523613021544,67642,-3.6109211126310936
Jacareí,2021,5944.0,12.045240339302543,73303,8.369060642795901
Lorena,2018,1162.0,6.312900274473932,22668,-1.618853348378979
Lorena,2019,1355.0,16.609294320137693,22271,-1.7513675666137265
Lorena,2020,1761.0,29.963099630996304,22618,1.558080014368457
Lorena,2021,1776.0,0.8517887563884052,24117,6.627464851003628
Pindamonhangaba,2018,2165.0,19.878183831672214,43237,6.3405396099264655
Pindamonhangaba,2019,2532.0,16.951501154734405,45387,4.972592918102547
Pindamonhangaba,2020,3029.0,19.62875197472353,43275,-4.65331482583119
Pindamonhangaba,2021,3294.0,8.74876196764609,45111,4.24263431542462
São José Dos Campos,2018,12731.0,29.104553290741308,268098,-0.9586505746362106
São José Dos Campos,2019,17361.0,36.3679208231875,268869,0.287581406799009
São José Dos Campos,2020,18723.0,7.845170209089347,262763,-2.270994424794226
São José Dos Campos,2021,21313.0,13.8332532179672,273564,4.110548288762117
São Sebastião,2018,1253.0,902.4,2210,-6.751054852320671
São Sebastião,2019,1491.0,988.3211678832116,2170,-1.8099547511312264
São Sebastião,2020,1909.0,899.476439790576,2264,4.331797235023038
São Sebastião,2021,1911.0,792.9906542056076,2549,12.588339222614842
Taubaté,2018,5053.0,12.513916722333551,111835,1.3650082933770902
Taubaté,2019,6715.0,32.891351672273906,115826,3.56865024366253
Taubaté,2020,7673.0,14.266567386448248,108624,-6.217947611071784
Taubaté,2021,8151.0,6.229636387332205,114173,5.108447488584478
Ubatuba,2018,1740.0,16.15487316421895,27262,2.7707618652693444
Ubatuba,2019,2309.0,32.70114942528735,29054,6.573252145844033
Ubatuba,2020,2555.0,10.65396275443915,28259,-2.736284160528668
Ubatuba,2021,2425.0,-5.088062622309197,29675,5.010793021692206
