Municipality,2017,2018,2019,2020,2021
Alta Floresta D'Oeste,485374000,498980000,495775000,570242000,734469000
Ariquemes,2287910000,2464704000,2579278000,2817331000,3209761000
Cabixi,138110000,140503000,139976000,167153000,238412000
Cacoal,2082761000,2175840000,2261930000,2518845000,2792383000
Cerejeiras,439245000,470647000,506494000,600630000,743037000
Colorado Do Oeste,328377000,330232000,334922000,366922000,424807000
Corumbiara,332804000,320416000,349289000,268353000,396728000
Costa Marques,212879000,230151000,238796000,261944000,316671000
Espigão D'Oeste,566361000,606072000,624787000,666321000,773381000
Guajará-Mirim,775195000,837459000,892778000,984614000,1054179000
Jaru,1354733000,1484555000,1500855000,1665151000,1765089000
Ji-Paraná,3062162000,3466810000,3783206000,4057176000,4231113000
Machadinho D'Oeste,587758000,642283000,632997000,700188000,890320000
Nova Brasilândia D'Oeste,345425000,345779000,359625000,403373000,548734000
Ouro Preto Do Oeste,762112000,807497000,834959000,885132000,985868000
Pimenta Bueno,1050682000,1129770000,1164694000,1361160000,1642516000
Porto Velho,16974627000,16655670000,17906443000,19446740000,20059522000
Presidente Médici,410136000,418683000,427885000,464090000,559990000
Rio Crespo,105272000,102476000,111100000,133557000,184430000
Rolim De Moura,1304503000,1291476000,1281314000,1403499000,1565194000
Santa Luzia D'Oeste,153096000,146269000,142638000,156765000,213556000
Vilhena,2523712000,2720979000,2832738000,3152560000,4215046000
São Miguel Do Guaporé,633099000,704874000,616830000,730643000,905335000
Nova Mamoré,463144000,508409000,529243000,601843000,742687000
Alvorada D'Oeste,252252000,256200000,260403000,289497000,352628000
Alto Alegre Dos Parecis,328001000,278342000,288721000,324519000,483672000
Alto Paraíso,307459000,328757000,358407000,396387000,510361000
Buritis,649985000,680428000,726351000,781528000,966552000
Novo Horizonte Do Oeste,167453000,165986000,165527000,185088000,231502000
Cacaulândia,139924000,140567000,144465000,169146000,275338000
Campo Novo De Rondônia,266520000,285323000,274661000,331894000,369377000
Candeias Do Jamari,491350000,568963000,548064000,562989000,655606000
Castanheiras,110916000,113026000,103993000,80395000,99627000
Chupinguaia,279877000,300109000,304810000,374750000,468793000
Cujubim,324735000,357078000,385069000,431816000,487480000
Governador Jorge Teixeira,178524000,178491000,177942000,200565000,239330000
Itapuã Do Oeste,158293000,173175000,184657000,192750000,210031000
Ministro Andreazza,215810000,205983000,216434000,224912000,297878000
Mirante Da Serra,205082000,218549000,216961000,231662000,262640000
Monte Negro,267804000,284071000,291812000,340931000,389891000
Nova União,121147000,121109000,117350000,128791000,157321000
Parecis,99549000,106828000,107301000,120815000,155434000
Pimenteiras Do Oeste,99367000,104550000,116514000,148823000,246209000
Primavera De Rondônia,62900000,60540000,61854000,66465000,107030000
São Felipe D'Oeste,87273000,89557000,89254000,102279000,130676000
São Francisco Do Guaporé,335648000,352819000,353339000,397745000,488043000
Seringueiras,232724000,234736000,236261000,250586000,332987000
Teixeirópolis,83325000,89190000,92344000,97349000,121301000
Theobroma,185034000,191947000,191524000,213106000,257426000
Urupá,200082000,217076000,215416000,227775000,273501000
Vale Do Anari,143303000,159964000,166804000,180702000,220588000
Vale Do Paraíso,142330000,150080000,146544000,161248000,185648000
Acrelândia,229644000,253138000,253152000,291582000,398725000
Assis Brasil,91743000,89875000,92705000,96315000,133916000
Brasiléia,388018000,439547000,454009000,488072000,685636000
Bujari,158301000,158191000,159100000,179175000,300830000
Capixaba,170990000,164238000,152806000,144677000,512353000
Cruzeiro Do Sul,1287867000,1401490000,1439760000,1793428000,2058630000
Epitaciolândia,435952000,440177000,422617000,433585000,644542000
Feijó,350880000,366052000,362490000,386502000,567040000
Jordão,78628000,78138000,82098000,82867000,113975000
Mâncio Lima,194421000,201048000,205214000,215662000,269205000
Manoel Urbano,135401000,138288000,131637000,138414000,184904000
Marechal Thaumaturgo,195344000,192055000,194430000,209775000,256865000
Plácido De Castro,241231000,262261000,276129000,267420000,601471000
Porto Walter,112711000,112166000,118375000,129394000,160535000
Rio Branco,8153153000,8911060000,9130749000,9362488000,10955675000
Rodrigues Alves,185008000,187068000,190863000,202059000,255649000
Santa Rosa Do Purus,71271000,71761000,79725000,83424000,108545000
Senador Guiomard,359782000,371144000,360656000,349736000,779672000
Sena Madureira,500512000,520298000,539331000,575264000,748094000
Tarauacá,470854000,487948000,482624000,511369000,711884000
Xapuri,231302000,250235000,274589000,292281000,454981000
Porto Acre,229926000,234946000,226959000,242881000,471315000
Alvarães,159083000,170089000,196154000,194561000,217333000
Amaturá,80805000,83447000,95436000,101934000,118872000
Anamã,108163000,116719000,125494000,129933000,138599000
Anori,192984000,218807000,200709000,215119000,248435000
Apuí,193492000,209970000,252677000,271930000,297810000
Atalaia Do Norte,141205000,143057000,150688000,172713000,184947000
Autazes,328193000,356934000,388848000,446599000,506341000
Barcelos,160672000,168626000,189996000,208482000,245622000
Barreirinha,239721000,259291000,286580000,313547000,344890000
Benjamin Constant,280086000,310751000,347115000,349347000,388781000
Beruri,141498000,151805000,169892000,182503000,211871000
Boa Vista Do Ramos,125739000,140055000,146215000,161505000,182412000
Boca Do Acre,365383000,415766000,444283000,475575000,512796000
Borba,296371000,304755000,330380000,361457000,402131000
Caapiranga,142346000,156561000,168773000,170630000,177894000
Canutama,103082000,107991000,121948000,133366000,154316000
Carauari,286003000,307070000,336549000,358945000,370657000
Careiro,272854000,314629000,340672000,363330000,395194000
Careiro Da Várzea,313356000,337463000,318688000,374101000,413374000
Coari,1322937000,2018615000,2253992000,1923265000,3380278000
Codajás,464273000,501935000,505889000,498996000,531995000
Eirunepé,434006000,518216000,478814000,502984000,568039000
Envira,148766000,157794000,172414000,178128000,215527000
Fonte Boa,167593000,180667000,181680000,197036000,222773000
Guajará,115995000,123681000,130114000,147398000,177320000
Humaitá,556079000,621322000,721855000,780339000,860168000
Ipixuna,139916000,152316000,177141000,193669000,216519000
Iranduba,697064000,678368000,691801000,727697000,1001862000
Itacoatiara,1979493000,1882624000,2070851000,2273504000,2350463000
Itamarati,93869000,95522000,99805000,107487000,135620000
Itapiranga,107713000,111075000,129499000,134333000,152509000
Japurá,61997000,63038000,65857000,63114000,85809000
Juruá,99877000,104579000,115621000,122251000,138074000
Jutaí,218569000,224322000,230654000,252817000,266377000
Lábrea,495747000,493720000,500460000,556267000,625199000
Manacapuru,1526357000,1428780000,1502525000,1432217000,1544675000
Manaquiri,236248000,275567000,259773000,274499000,311335000
Manaus,73225449000,78155386000,84566043000,91773536000,103281436000
Manicoré,495881000,529374000,560803000,621102000,686279000
Maraã,153885000,129463000,140342000,148824000,176217000
Maués,459063000,502004000,551175000,565975000,595827000
Nhamundá,142267000,152077000,168137000,185694000,207005000
Nova Olinda Do Norte,234351000,247214000,278282000,293887000,341652000
Novo Airão,131745000,136543000,172501000,172051000,186533000
Novo Aripuanã,183334000,200293000,212575000,219412000,252422000
Parintins,1092155000,1123079000,1225444000,1320369000,1426984000
Pauini,150838000,157104000,163873000,175059000,199541000
Presidente Figueiredo,445555000,823936000,956464000,832243000,1031905000
Rio Preto Da Eva,384152000,382992000,439400000,374196000,407146000
Santa Isabel Do Rio Negro,122726000,138110000,150012000,157256000,185817000
Santo Antônio Do Içá,172833000,181771000,191909000,208637000,237314000
São Gabriel Da Cachoeira,314682000,331771000,349719000,376603000,423054000
São Paulo De Olivença,235478000,251748000,280976000,302085000,334131000
São Sebastião Do Uatumã,101297000,117748000,121771000,127895000,136609000
Silves,96376000,101823000,114106000,133793000,175042000
Tabatinga,463248000,537079000,594242000,652926000,758036000
Tapauá,338884000,247785000,192217000,218672000,239944000
Tefé,746603000,936724000,1021258000,941046000,1098392000
Tonantins,123847000,133877000,151465000,158633000,185410000
Uarini,186574000,188175000,196338000,205138000,229209000
Urucará,298331000,330708000,302863000,306779000,205656000
Urucurituba,143101000,166521000,179336000,195752000,232661000
Amajari,163113000,169685000,176954000,198107000,240826000
Alto Alegre,276115000,280115000,307361000,409619000,385507000
Boa Vista,8947813000,10042234000,10697931000,11828926000,13493364000
Bonfim,266844000,281340000,315224000,416440000,522405000
Cantá,247658000,268480000,275046000,325084000,353071000
Caracaraí,347759000,347040000,369912000,410236000,453298000
Caroebe,162996000,178393000,199851000,227485000,236788000
Iracema,150906000,159895000,158894000,182151000,208477000
Mucajaí,299920000,309570000,311626000,348377000,393852000
Normandia,148455000,153495000,173355000,194764000,202859000
Pacaraima,171778000,204460000,261537000,290184000,329092000
Rorainópolis,530590000,547432000,576395000,636429000,732356000
São João Da Baliza,155127000,177732000,205385000,262115000,327768000
