Year,Municipality ID,Municipality,Workers
2016,3502507,Aparecida,15678
2016,3503158,Arapeí,457
2016,3503505,Areias,639
2016,3504909,Bananal,2846
2016,3508504,Caçapava,28414
2016,3508603,Cachoeira Paulista,7032
2016,3509700,Campos Do Jordão,18420
2016,3509957,Canas,1913
2016,3510500,Caraguatatuba,34189
2016,3513405,Cruzeiro,20875
2016,3513603,Cunha,2608
2016,3518404,Guaratinguetá,40673
2016,3520202,Igaratá,2077
2016,3520400,Ilhabela,11741
2016,3524402,Jacareí,68085
2016,3524907,Jambeiro,3931
2016,3526308,Lagoinha,878
2016,3526605,Lavrinhas,996
2016,3527207,Lorena,23443
2016,3531704,Monteiro Lobato,935
2016,3532306,Natividade Da Serra,902
2016,3535606,Paraibuna,3430
2016,3538006,Pindamonhangaba,44532
2016,3538501,Piquete,1660
2016,3540754,Potim,1857
2016,3541901,Queluz,2567
2016,3542305,Redenção Da Serra,790
2016,3544301,Roseira,2906
2016,3546009,Santa Branca,2907
2016,3548203,Santo Antônio Do Pinhal,1477
2016,3548609,São Bento Do Sapucaí,1963
2016,3549607,São José Do Barreiro,604
2016,3549904,São José Dos Campos,285640
2016,3550001,São Luís Do Paraitinga,2233
2016,3550704,São Sebastião,28797
2016,3552007,Silveiras,900
2016,3554102,Taubaté,109837
2016,3554805,Tremembé,6398
2016,3555406,Ubatuba,26826
2017,3502507,Aparecida,15748
2017,3503158,Arapeí,447
2017,3503505,Areias,684
2017,3504909,Bananal,2413
2017,3508504,Caçapava,27890
2017,3508603,Cachoeira Paulista,6688
2017,3509700,Campos Do Jordão,17337
2017,3509957,Canas,1763
2017,3510500,Caraguatatuba,34515
2017,3513405,Cruzeiro,20004
2017,3513603,Cunha,2783
2017,3518404,Guaratinguetá,40064
2017,3520202,Igaratá,2065
2017,3520400,Ilhabela,12065
2017,3524402,Jacareí,65756
2017,3524907,Jambeiro,4221
2017,3526308,Lagoinha,944
2017,3526605,Lavrinhas,1001
2017,3527207,Lorena,23041
2017,3531704,Monteiro Lobato,849
2017,3532306,Natividade Da Serra,838
2017,3535606,Paraibuna,3560
2017,3538006,Pindamonhangaba,40659
2017,3538501,Piquete,1707
2017,3540754,Potim,1844
2017,3541901,Queluz,2096
2017,3542305,Redenção Da Serra,785
2017,3544301,Roseira,3145
2017,3546009,Santa Branca,8285
2017,3548203,Santo Antônio Do Pinhal,1559
2017,3548609,São Bento Do Sapucaí,1917
2017,3549607,São José Do Barreiro,576
2017,3549904,São José Dos Campos,270693
2017,3550001,São Luís Do Paraitinga,2470
2017,3550704,São Sebastião,28556
2017,3552007,Silveiras,987
2017,3554102,Taubaté,110329
2017,3554805,Tremembé,6287
2017,3555406,Ubatuba,26527
2018,3502507,Aparecida,15770
2018,3503158,Arapeí,426
2018,3503505,Areias,680
2018,3504909,Bananal,2289
2018,3508504,Caçapava,30295
2018,3508603,Cachoeira Paulista,6830
2018,3509700,Campos Do Jordão,17930
2018,3509957,Canas,1720
2018,3510500,Caraguatatuba,34283
2018,3513405,Cruzeiro,20683
2018,3513603,Cunha,2760
2018,3518404,Guaratinguetá,41736
2018,3520202,Igaratá,2085
2018,3520400,Ilhabela,12160
2018,3524402,Jacareí,68153
2018,3524907,Jambeiro,4707
2018,3526308,Lagoinha,855
2018,3526605,Lavrinhas,957
2018,3527207,Lorena,22668
2018,3531704,Monteiro Lobato,896
2018,3532306,Natividade Da Serra,848
2018,3535606,Paraibuna,3553
2018,3538006,Pindamonhangaba,43237
2018,3538501,Piquete,1659
2018,3540754,Potim,1790
2018,3541901,Queluz,2181
2018,3542305,Redenção Da Serra,8205
2018,3544301,Roseira,3116
2018,3546009,Santa Branca,3444
2018,3548203,Santo Antônio Do Pinhal,1498
2018,3548609,São Bento Do Sapucaí,2085
2018,3549607,São José Do Barreiro,674
2018,3549904,São José Dos Campos,268098
2018,3550001,São Luís Do Paraitinga,2604
2018,3550704,São Sebastião,29080
2018,3552007,Silveiras,887
2018,3554102,Taubaté,111835
2018,3554805,Tremembé,6570
2018,3555406,Ubatuba,27262
2019,3502507,Aparecida,16015
2019,3503158,Arapeí,464
2019,3503505,Areias,769
2019,3504909,Bananal,2171
2019,3508504,Caçapava,28849
2019,3508603,Cachoeira Paulista,6924
2019,3509700,Campos Do Jordão,18581
2019,3509957,Canas,1147
2019,3510500,Caraguatatuba,36308
2019,3513405,Cruzeiro,21042
2019,3513603,Cunha,2805
2019,3518404,Guaratinguetá,42557
2019,3520202,Igaratá,2068
2019,3520400,Ilhabela,12473
2019,3524402,Jacareí,70176
2019,3524907,Jambeiro,3950
2019,3526308,Lagoinha,879
2019,3526605,Lavrinhas,1025
2019,3527207,Lorena,22271
2019,3531704,Monteiro Lobato,790
2019,3532306,Natividade Da Serra,821
2019,3535606,Paraibuna,3460
2019,3538006,Pindamonhangaba,45387
2019,3538501,Piquete,1729
2019,3540754,Potim,1821
2019,3541901,Queluz,2085
2019,3542305,Redenção Da Serra,1164
2019,3544301,Roseira,3236
2019,3546009,Santa Branca,2911
2019,3548203,Santo Antônio Do Pinhal,1553
