Municipality,2017,2018,2019,2020,2021
Alta Floresta D'Oeste,180,180,203,301,260
Ariquemes,1077,1042,1318,1659,1705
Cabixi,51,42,63,120,57
Cacoal,964,1167,1296,1671,1680
Cerejeiras,162,172,214,355,341
Colorado Do Oeste,188,208,211,334,244
Corumbiara,51,52,77,152,67
Costa Marques,85,108,115,172,127
Espigão D'Oeste,202,252,289,458,426
Guajará-Mirim,320,355,366,610,392
Jaru,464,503,566,772,751
Ji-Paraná,1556,1791,2071,2672,2764
Machadinho D'Oeste,244,264,230,479,344
Nova Brasilândia D'Oeste,92,78,117,202,147
Ouro Preto Do Oeste,350,438,485,586,591
Pimenta Bueno,344,399,536,642,610
Porto Velho,4798,5714,6511,8266,9358
Presidente Médici,140,154,183,274,228
Rio Crespo,22,24,21,72,33
Rolim De Moura,581,601,715,885,951
Santa Luzia D'Oeste,50,44,60,110,55
Vilhena,958,1177,1506,1937,1965
São Miguel Do Guaporé,146,162,189,348,248
Nova Mamoré,140,141,190,337,227
Alvorada D'Oeste,92,93,101,188,144
Alto Alegre Dos Parecis,54,63,67,132,67
Alto Paraíso,88,110,96,223,161
Buritis,211,261,277,408,363
Novo Horizonte Do Oeste,43,51,52,121,54
Cacaulândia,26,19,30,91,21
Campo Novo De Rondônia,79,61,62,122,52
Candeias Do Jamari,162,200,206,333,297
Castanheiras,10,19,9,98,22
Chupinguaia,74,83,107,196,126
Cujubim,164,182,150,351,239
Governador Jorge Teixeira,29,33,32,104,49
Itapuã Do Oeste,58,58,62,160,76
Ministro Andreazza,46,35,51,96,44
Mirante Da Serra,41,63,61,151,126
Monte Negro,70,84,77,179,82
Nova União,29,32,43,87,53
Parecis,17,26,29,76,28
Pimenteiras Do Oeste,19,24,31,83,24
Primavera De Rondônia,24,25,22,66,21
São Felipe D'Oeste,39,28,31,88,50
São Francisco Do Guaporé,113,107,184,258,182
Seringueiras,55,61,81,180,126
Teixeirópolis,31,25,35,75,40
Theobroma,37,41,56,139,49
Urupá,79,73,72,191,102
Vale Do Anari,43,40,52,135,52
Vale Do Paraíso,39,43,46,95,56
Acrelândia,64,86,90,193,108
Assis Brasil,25,43,37,149,61
Brasiléia,140,201,267,330,257
Bujari,21,28,56,180,64
Capixaba,29,46,34,155,44
Cruzeiro Do Sul,597,828,749,913,957
Epitaciolândia,85,130,144,268,168
Feijó,126,138,125,272,141
Jordão,9,15,32,111,16
Mâncio Lima,62,61,75,184,88
Manoel Urbano,31,37,24,126,50
Marechal Thaumaturgo,41,33,44,169,78
Plácido De Castro,59,68,60,229,103
Porto Walter,36,29,135,113,76
Rio Branco,2636,3335,3955,5119,5369
Rodrigues Alves,57,37,38,147,69
Santa Rosa Do Purus,9,14,8,93,20
Senador Guiomard,97,114,126,254,138
Sena Madureira,121,169,173,251,181
Tarauacá,76,88,117,295,185
Xapuri,50,60,74,152,93
Porto Acre,38,59,46,209,150
Alvarães,19,25,27,160,25
Amaturá,25,85,56,192,38
Anamã,17,29,11,87,21
Anori,36,24,24,90,42
Apuí,115,102,103,237,144
Atalaia Do Norte,18,18,30,131,38
Autazes,116,99,113,309,166
Barcelos,75,80,107,262,124
Barreirinha,151,70,81,201,152
Benjamin Constant,105,164,126,298,116
Beruri,36,37,42,192,37
Boa Vista Do Ramos,30,72,43,207,74
Boca Do Acre,144,161,184,332,208
Borba,73,262,67,269,99
Caapiranga,19,10,35,129,18
Canutama,22,15,19,78,25
Carauari,64,78,55,144,84
Careiro,183,144,106,337,163
Careiro Da Várzea,151,66,34,162,87
Coari,156,163,196,458,288
Codajás,39,58,73,164,84
Eirunepé,53,63,53,217,68
Envira,37,51,48,147,50
Fonte Boa,45,62,53,214,51
Guajará,27,31,17,117,38
Humaitá,468,352,428,737,588
Ipixuna,27,15,23,112,35
Iranduba,208,263,277,677,428
Itacoatiara,335,358,411,910,619
Itamarati,21,17,21,92,37
Itapiranga,20,29,49,187,60
Japurá,9,22,16,96,43
Juruá,26,33,25,125,34
Jutaí,18,44,44,145,62
Lábrea,88,80,95,283,133
Manacapuru,302,299,385,845,613
Manaquiri,129,52,93,368,131
Manaus,15514,18770,25114,33135,36995
Manicoré,364,348,229,441,353
Maraã,27,20,26,209,21
Maués,128,143,299,415,203
Nhamundá,30,31,38,147,127
Nova Olinda Do Norte,250,88,140,293,100
Novo Airão,104,127,151,212,114
Novo Aripuanã,94,87,57,210,61
Parintins,513,440,509,833,643
Pauini,33,39,53,165,67
Presidente Figueiredo,274,187,393,627,425
Rio Preto Da Eva,190,141,141,339,316
Santa Isabel Do Rio Negro,45,48,36,180,36
Santo Antônio Do Içá,96,92,46,174,55
São Gabriel Da Cachoeira,95,110,132,282,149
São Paulo De Olivença,58,40,38,163,48
São Sebastião Do Uatumã,50,31,52,131,61
Silves,17,19,26,136,51
Tabatinga,226,213,284,480,240
Tapauá,34,30,27,113,35
Tefé,205,237,349,556,313
Tonantins,25,40,32,134,47
Uarini,28,12,19,130,26
Urucará,54,28,46,230,75
Urucurituba,47,44,32,184,51
Amajari,23,17,24,119,59
Alto Alegre,48,42,43,130,68
Boa Vista,2791,3711,4225,5560,6214
Bonfim,53,45,61,160,74
Cantá,35,41,58,191,74
Caracaraí,112,84,72,280,135
Caroebe,49,29,59,102,67
Iracema,33,23,25,78,41
Mucajaí,72,88,67,192,133
Normandia,19,9,20,127,30
Pacaraima,78,109,139,185,121
Rorainópolis,169,157,215,384,290
São João Da Baliza,33,36,38,115,70
São Luiz,39,27,31,84,33
Uiramutã,10,9,9,76,30
Abaetetuba,664,583,634,1092,893
Abel Figueiredo,44,21,33,114,33
Acará,134,131,147,353,192
Afuá,56,63,80,192,108
Água Azul Do Norte,72,65,65,177,98
Alenquer,160,166,190,477,335
Almeirim,132,125,146,315,246
Altamira,781,884,1334,1641,1903
Anajás,57,48,56,187,84
Ananindeua,5020,4668,6037,8163,9085
Anapu,209,197,173,336,268
Augusto Corrêa,97,106,128,296,218
Aurora Do Pará,57,43,60,159,104
Aveiro,42,25,25,119,78
Bagre,49,56,53,144,102
Baião,84,68,74,237,103
Bannach,17,10,18,83,31
Barcarena,699,970,1045,1529,1680
Belém,14483,14108,18227,23044,25203
Belterra,129,129,123,274,255
Benevides,478,504,528,959,933
Bom Jesus Do Tocantins,64,61,76,166,91
Bonito,34,36,49,127,55
Bragança,580,566,660,1017,887
Brasil Novo,82,93,96,213,161
Brejo Grande Do Araguaia,22,24,31,85,35
Breu Branco,131,165,175,395,315
Breves,286,383,539,996,605
Bujaru,84,44,53,209,98
Cachoeira Do Piriá,36,32,42,115,87
Cachoeira Do Arari,77,31,58,192,74
Cametá,268,228,370,670,538
Canaã Dos Carajás,613,535,635,1086,1140
Capanema,650,629,736,1015,864
Capitão Poço,224,251,278,394,397
Castanhal,1485,1593,1954,2790,3077
Chaves,23,15,22,159,30
Colares,34,36,35,157,62
Conceição Do Araguaia,456,425,400,596,561
Concórdia Do Pará,109,81,136,261,185
Cumaru Do Norte,49,42,41,164,114
Curionópolis,108,95,127,247,176
Curralinho,81,68,78,258,94
Curuá,45,63,70,187,84
Curuçá,85,100,128,285,178
Dom Eliseu,337,238,312,552,447
Eldorado Do Carajás,146,122,145,316,201
Faro,24,13,32,112,52
Floresta Do Araguaia,78,67,80,222,136
Garrafão Do Norte,62,56,68,154,118
Goianésia Do Pará,94,100,101,281,166
Gurupá,62,68,75,195,76
Igarapé-Açu,168,158,168,325,225
Igarapé-Miri,175,158,212,486,320
Inhangapi,19,33,31,152,51
Ipixuna Do Pará,103,105,115,316,230
Irituia,60,64,62,203,101
Itaituba,696,793,991,1522,1761
Itupiranga,210,194,185,368,236
Jacareacanga,104,77,78,209,174
Jacundá,199,180,170,385,252
Juruti,168,287,297,462,423
Limoeiro Do Ajuru,45,38,43,169,70
Mãe Do Rio,147,134,157,376,247
Magalhães Barata,13,33,14,140,33
Marabá,2189,2537,2798,3780,4079
Maracanã,101,82,79,240,182
Marapanim,56,56,62,201,121
Marituba,793,832,999,1613,1164
Medicilândia,90,94,93,280,164
Melgaço,40,54,135,186,61
Mocajuba,64,88,87,209,101
Moju,221,239,347,564,366
Mojuí dos Campos,50,69,69,168,111
Monte Alegre,227,210,259,506,338
Muaná,62,60,82,263,102
Nova Esperança Do Piriá,54,45,59,155,110
Nova Ipixuna,70,54,50,167,75
Nova Timboteua,94,45,67,124,94
Novo Progresso,404,346,509,625,723
Novo Repartimento,277,238,240,545,374
Óbidos,189,220,257,395,257
Oeiras Do Pará,92,95,96,231,131
Oriximiná,388,255,312,523,473
Ourém,72,67,59,150,111
Ourilândia Do Norte,209,224,223,406,321
Pacajá,132,142,149,387,238
Palestina Do Pará,20,27,18,66,29
Paragominas,756,803,1004,1380,1364
Parauapebas,1838,1981,3007,4131,4404
Pau D'Arco,35,33,45,140,83
Peixe-Boi,40,29,24,93,49
Piçarra,26,43,38,113,78
Placas,41,64,78,169,97
Ponta De Pedras,69,63,73,258,97
Portel,210,168,246,513,340
Porto De Moz,166,158,158,316,162
Prainha,63,72,93,295,144
Primavera,69,39,65,133,73
Quatipuru,52,43,50,124,72
Redenção,703,787,909,1367,1431
Rio Maria,119,91,146,251,188
Rondon Do Pará,206,227,224,383,349
Rurópolis,107,99,153,281,257
Salinópolis,275,323,395,799,694
Salvaterra,80,62,109,388,134
Santa Bárbara Do Pará,124,130,163,346,202
Santa Cruz Do Arari,12,15,14,83,17
Santa Izabel Do Pará,377,345,408,807,706
Santa Luzia Do Pará,64,70,95,155,83
Santa Maria Das Barreiras,59,75,99,229,229
Santa Maria Do Pará,104,128,150,273,213
Santana Do Araguaia,186,212,224,560,423
Santarém,2347,2768,3219,4555,5094
Santarém Novo,29,19,29,129,42
Santo Antônio Do Tauá,93,102,123,423,277
São Caetano De Odivelas,62,58,68,290,116
São Domingos Do Araguaia,75,70,112,212,146
São Domingos Do Capim,59,33,59,155,100
São Félix Do Xingu,270,274,620,677,550
São Francisco Do Pará,52,47,46,174,75
São Geraldo Do Araguaia,124,122,142,254,237
São João Da Ponta,5,12,11,96,27
São João De Pirabas,77,65,95,246,120
São João Do Araguaia,35,34,40,142,51
São Miguel Do Guamá,215,249,251,531,370
São Sebastião Da Boa Vista,86,61,61,278,102
Sapucaia,36,33,34,95,45
Senador José Porfírio,82,62,69,170,121
